,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
David Riley,STEM JAM,Oxfam/IFRAD Hackathon,Devfest Ikot-Ekpene 2022,YouthCodeX,Qubit 24Hr Hackathon
Carlos Warren,Hack APAC - “The New Normal is Yours!”,Interledger Hackathon - ILP Summit 2023 Edition,Seerbit Future of Payment Hackathon ,Enactus Windsor Hacks,GirlCode Hackathon
Michael Stafford,TRON Grand Hackathon - Season 3,HackSmith 2021,Celo's Make Crypto Mobile Hackathon,Chainlink Fall Hackathon 2021,Chainlink Fall 2022 Hackathon
Jacob Jones,Abbey Road Hack-Power Of Immersion  9/10 Nov,STEM JAM,Red Bull AdrenaLAN 2019,AT&T Next Gen TV Hackathon,CodeXplode: Ignite the Coding Revolution
Michelle Thomas,Hack the Change 2021,AIHacks4Good,Give Back Hacks 2.0,HackRPI Fall 2020,Haryana Steelers Hackathon
Louis Evans,Hackathon BDC Montréal 2020,MLDA DLW Hackathon,TeenHacks LI Fall 2020,MD Hacks,Polyana App 2020
Russell Hill,API World Hackathon 2022,DigitalBits Blockchain Hackathon,BlockHack 2023,TAMU Datathon 2020,HackOnLisk2
Jennifer Allen,AWS Graviton Hackathon,YouthHacks,Hack Your Learning - SchulichHacks 2023,HackSmith 2021,"Smart e-Hackathon on ""SUSTAINABLE RURAL DEVELOPMENT - 2021 (SH-SRD 2021)"""
Michele Gutierrez,API World Hackathon 2022,Blockstack Can't Be Evil Contest: Part 3,Diffusion 2019,Hack Concode,Bitcoin Bankathon
Breanna Proctor,Game Gig 2019,Kent Browser Gameathon,IHS CS Club November Hackathon,Games4SocialImpact,Gaming Hackathon 
Samantha Harris,API World Hackathon 2022,MadurAIOpenTecHackathon,Go Blue Innovate,Sales Kickoff - International Hackathon,Sales Kickoff - Americas' Hackathon
Emily Peterson,Teens in AI presents International Women's Day Global Hackathon,HackCamp 2022,ABC Code Jam 2023,HappyHacks II,Hack-on-chain
Shelly Fleming,Microsoft US Hack for Wellness,FDD Dart and Flutter Student Hackathon,AI & Music festival hackathon,MATLAB Hackathon Uniroma2,Nylas and AI: Email and Calendaring for the Future
Roger Taylor,Ink and Metal | STEM Olympics,NextStep,Garuda Hacks v2.0,Celo's Make Crypto Mobile Hackathon,ETH Panama Hackathon 2022
Michele Hoffman,YCP Hacks 2023,Wildcat Fresh Hacks,SF Hacks Code Jam 2023 V2,Potatathon,YCP Hacks 2022
Joe Henderson,Vivid Hacks,Westview Hacks,Orange Inter-ODC Makeathon 2022,MY Streamlit Hack,Ably Realtime Experiences Hackathon
Pamela Colon,Google’s Immersive Geospatial Challenge,CELESTRA-2021,myNetworkHer[Hacks],Cyber Hacks,Hacky Winterland 2
Mr. Robert Klein,SystemsHacks 2020: LifeHacks,SyntHacks II,loomSDK Holiday Hack,Agora Video SDK Hackathon (Web),Appathon Nov'19
Christina Hudson,Hack Your Learning - SchulichHacks 2023,Civiso Designathon 2022,VR Summit Hackathon,AR/VR Africa 2022 Metathon | Ethiopia,SLAC WiSTEM Program Project Competition
Aaron Powell,DemonHacks,ACM Demothon,Hack the Change 2023,WHS GWC x Robotics Hackathon,End-to-End Encrypted Flutter/Dart Hackathon 2021 - Moving to Cal Hacks 8.0
Debbie Williams,HackBlue Cyber Hackathon,DeveloperWeek Enterprise 2022 Hackathon,API World Hackathon 2022,"Cornucodia ($17k+ in prizes, internship opportunities)",hackMCST VII
Karen Brown,MATLAB Hackathon Uniroma2,Alexa Skills Challenge: In-Skill Purchasing,MetroHacks 2022,Liquid Hacks ,API World Hackathon 2022
Michael Galloway,API World Hackathon 2022,Golden Hack: Impact Weekend,Global Hack Week December Day 4,TechTogether New York 2023,Hackadtech - open hackathon by AdTech Holding
Tonya Bryant,HackRPI X,Microsoft Azure Innovation Challenge ,PowerToFly Diversity Hackathon (December 2022),Hack Our Community,HubIT Online-Designathon 
Angela Chapman,Hack Spartan 2023,Tigre Hacks,HackCamp 2021,AYLUS Humanity Hacks,MecSimCalc Hackathon 4.0
Stephanie Miller,Oxford Blockchain Hack 2023 (hosted by HomeDAO),The 6-week Smart Contract Hackathon,LEC Hacks 2023,Hack The Block,NEARCON IRL Hackathon
Devon Wilson,Google’s Immersive Geospatial Challenge,Columbia Data Science Society Datathon Fall 2023,PowerToFly Diversity Hackathon (December 2022),Cutie Hack 2021,CODE WILD EGYPT: Wildlife Hackathon 
Robert Peters,UPitch 2019,Inisio Hacks,Code Green,CODE WILD EGYPT: Wildlife Hackathon ,Opportunity Hack 2022
Crystal Petersen,FRC Back to School Hackathon,POSTPONED! -- Lopes Giving Back Hack 2022,DojoHacks2020,Space City Hacks 2023,Brook Codes 2021
Dr. Jeffrey Smith,2022 FOOD SYSTEMS CHALLENGE HACK,Start Green Hackathon 2020,Girls in Tech CH: Hacking for Humanity,HACK LPS,W5 Hackacomp
Lee Jackson,Google’s Immersive Geospatial Challenge,iCUBE_2.0,SingleStore Database Hackathon ,DATAnalyze 2021,HackJA December 2021
Mr. James Johnson,Voicehacks Hackathon,Japan LawTech SOAR: Embracing Society 5.0,Twitch Dev Jam 2019,Appathon Nov'19,loomSDK Holiday Hack
Robert Simpson,2021 Calgary Youth Hackathon,theCoderSchool Fall 2022 Hackathon,HackFit,SWC Hacks,Ideate
Daniel Morris,Garuda Hacks v2.0,Hack4Earth,Microsoft #BuildFor2030 Hackathon,Seerbit Future of Payment Hackathon ,Decentralized Identity Foundation Hackathon
Lawrence Mason,BusinessMeetsTech IdeaHack! 2022,Hack4Earth,Midnight Hacks,Genius Challenge,Hacking for Humanity - Tech para la inclusión financiera
Karen Stephens,API World Hackathon 2022,hackUMBC Fall 2021,GitX 2022 - PSG Tech,Vivid Hacks,INRIX Hack 2022
Samantha Nguyen,Google’s Immersive Geospatial Challenge,Hack-on-chain,Cosmos HackAtom VI ,Celo's Make Crypto Mobile Hackathon,SASEhack Fall 2022
Steven Wise,Columbia DivHacks 2020,Dementia - Our Common Challenge,Code Queen Challenge  Dec 2020,CodeUp Hackathon,Hack It Out
Anthony Boyer,API World Hackathon 2022,Hack Your Path 4.0,Go Blue Innovate,HackEPS 2021,Hackadon 2020 - COVID-19 ONLINE EDITION
Aaron Knight,2023 PICO Dev Jam,Abbey Road Hack-Power Of Immersion  9/10 Nov,Mixed Reality Challenge: StereoKit (C# and OpenXR),tuwaiq bootcamp project,MLH Coding Challenge
Victoria Sanchez PhD,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Robert Gilbert,Seerbit Future of Payment Hackathon ,HackPrinceton Fall 2022,Interledger Hackathon - ILP Summit 2023 Edition,Med-Tech Hackathon,HackBlue Cyber Hackathon
Melissa Guerra,Google’s Immersive Geospatial Challenge,Columbia DivHacks 2020,BlockHack Hackathon,"Equitable Elevation II - (Internships, Prestigious Article, 300K Non-Cash Prize)",Raccoons Hackathon 2023
Devin Lopez,Google’s Immersive Geospatial Challenge,EUREKA! 2023,Set the World on FHIR,DigiEduHack Barcelona,CUNY Hackathon Fall 2021
Daniel Miller,Stanford's SLAC Program STEM Media Competition,Bitcoin Bankathon,CodeUp-Hack-22,RMRKable Hacktoberfest,EVMxIdeathon
Gregory Smith,DemonHacks,Hudson Valley Tech Festival & Hackathon,Bitcoin Hackathon for MFI & Education,IDEAHACK,HackNEHS
Michael Williams,Google’s Immersive Geospatial Challenge,Swiss Blockchain Hackathon 2021,Hack Education ,GreatUniHack 2022,HackNJIT 2022
Scott Herman,TRON Grand Hackathon - Season 3,Carolina Hacks,Web3 Stack Hack,CodeDAO Web3 Hackathon,Hackadtech - open hackathon by AdTech Holding
David Howard,MD Hacks,The Global Hackathon - LA Blockchain Week ,Legend Hacks,NaijaHacks 2019,Future of Forestry Hackathon
Lori Brandt,Pitt Challenge 2021,Neighborhood Hacks 2,Hack Your Path 4.0,TAMU Datathon 2020,MadurAIOpenTecHackathon
James Bennett,Med-Tech Hackathon,BioMedEngX,IvyHacks: First Ivy League Hackathon,NEXT CREATE-A-THON,The ELC Virtual Hackathon
Cheryl Blankenship,Voicehacks Hackathon,APPATHON@HCC - Fall 2020,bitsxlaMarató,Opportunity Hack 2020,BitsxLaMarato
Katherine Ball,API World Hackathon 2022,Girls in Tech Mental Health for All Hackathon,API World Hackathon 2021,jacobsHack! 2021,HackFit
Andrew Grimes,Prompt Engineering Hackathon for Humanities,OSHHACK 11 [2022-2023] ,Hajj and Umrah Challenge - تحدي الحج والعمرة,12th Named Data Networking (NDN) Hackathon,Horror Hacks 2023
Shane Hanson,Google’s Immersive Geospatial Challenge,Local Hack Day: Learn Day 6 ,Nokathon ,RALLYtoUS + VetsinTech Online Hackathon,AT&T 5G Hackathon
Sonya Torres,"AutoGPT Beat, Build, Break Hackathon",BASCII Applied Artificial Intelligence Final Project,Datathon,PyTorch Annual Hackathon 2021,Considition 2020 - smart & sustainable city development
Ryan Solomon,Neighborhood Hacks 2,Inspire2Dev Summer Hackathon,YeeHaw Hacks 2,Liquid Hacks 2.0,GDSC Game Jam
Tamara Pierce,Dashathon,UPitch 2019,Nokathon ,Red Bull AdrenaLAN 2019,AR/VR Africa 2022 Metathon | Ethiopia
Ryan Ware,API World Hackathon 2022,Clarkathon 2023,Hackadtech - open hackathon by AdTech Holding,NSBE Region 6 Fall Regional Conference Ideathon sponsored by Sledgehammer Games,FRC Back to School Hackathon
Hannah Elliott,API World Hackathon 2022,Helyx India Hacks,Oxfam/IFRAD Hackathon,TigerHacks,AzConf2021 - COVID19 Hackathon
Samantha Mann,SacHacks IV,Hack Roboy #5,QuackHacks Spring 2023,life --upgrade,MAIS Hacks 2021
Timothy Walker,API World Hackathon 2022,HackUiet 2021,DevFest GDG Algiers 2k19,uXperience | Think Privacy,Pitt Challenge 2021
Katie King,Innovasia 2022 ,"Cornucodia ($17k+ in prizes, internship opportunities)",HackHolyoke 2022,2022 FOOD SYSTEMS CHALLENGE HACK,Prototypical
Emily Meyer,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Dennis Sanchez,API World Hackathon 2022,The ELC Virtual Hackathon,Pega Community Hackathon 2022,AWS Graviton Hackathon,WeMakeDevs <> Stream Hackathon
Jenna Vincent,API World Hackathon 2022,Snap Spotlight Lensathon,RMRKable Hacktoberfest,5G Edge Computing Challenge with AWS,MuleSoft Hackathon 2021
Frank Beck,Hackathon BDC Montréal 2020,Hackadon 2020 - COVID-19 ONLINE EDITION,Red Bull AdrenaLAN 2019,Hack for the World,Campus Hack
Robert Holland,HackTX 2022,The Green Plan 2030 Challenge,MY Streamlit Hack,Global Hack Week December Day 3,Teens in AI presents International Women's Day Global Hackathon
Tracy Kirk,MksU Hackfest 2023,IATA ONE Record Hackathon – hosted by Qatar Airways Cargo,Go Blue Innovate,AI Games,ONE Record Hackathon Toronto - Hosted by Air Canada Cargo & IBM
Joe Cline,DigitalBits Blockchain Hackathon,Sorobanathon: Road to Mainnet,EVMxIdeathon,AT&T Next Gen TV Hackathon,TRON Grand Hackathon - Season 3
Kimberly Gardner,TriHacks,Codestellation 2020,#HACK for Missions: Chicago | Orlando | Phoenix,QBHacks 2019,HackPrinceton
Daniel Wilson,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Alan Romero,YouthCodeX,Swiss Blockchain Hackathon 2021,ETH Panama Hackathon 2022,EVMxIdeathon,PayString BlockSprint Hackathon
Ian Garcia,Google’s Immersive Geospatial Challenge,Dashathon,Hack Education ,MLDA Deep Learning Week 2021 Hackathon,MecSimCalc Hackathon 3.0
Matthew Baker,SFU Engineering Competition 2021,AI Art Competition Sydney Australia,CYHacks '22,AI in Education Hackathon by ASU ScaleU,SkyHack 2023
Roger Ryan,MaHack,WQCC x IBM Quantum Qiskit Fall Fest Hackathon,QuackHacks Spring 2023,Ultra Uniq NFT PFP Hackathon,Miami Buildathon
Debra Flores,Digital HackFair 2.0 | Bringing Technical Solutions to Empower Women,AR/VR Africa 2022 Metathon | Ethiopia,Hack the Valley 7,hackTAMS Fall 2021,HackmaFest
Jordan Jacobson,Ideahack! - WHU`s Hackathon ,Legend Hacks,"Sunshine State Hackathon, Florida, Oct.21-23",API 2019 Hackathon,TeenHacks LI Fall 2020
Kenneth Allen,MHacks 14,DubHacks '23,DubHacks '21,HackCamp 2021,Local Hack Day: Learn Day 3
Tammy Washington,Hackadon 2020 - COVID-19 ONLINE EDITION,Games4SocialImpact,Stefanini Innovation Hackathon,Gaming Hackathon ,IoT Hack Day 2019
Janice Robinson,Stellar Meridian Hackathon 2020,DeFi Hackathon,5G Innovation Hackathon,COMIT Hackathon - Atomic Swaps for your Application,DeveloperWeek Enterprise 2022 Hackathon
Matthew Lang,Hack Cambridge Spyder Lite Hackathon,YeeHaw Hacks 2,iCUBE_2.0,Luna Hacks  : Software Engineering ,hackBCA VI
Andrea Pope,Start Green Hackathon 2020,End-to-End Encrypted Flutter/Dart Hackathon 2021 - Moving to Cal Hacks 8.0,CodeUp Hackathon,Vivid Hacks RICI,Fitch 2022 Codeathon for Education
Brian Lewis,Datathon FME 2022,Databricks Asia Pacific LLM Cup 2023,Training Camp 9,ML4Earth Hackathon 2022 (online),METAVERSE MASTERS
Corey Gonzalez,API World Hackathon 2022,Beyond Code,Hacking 4 Humanity COVID19,Hack the Crisis (Ages 8-17),HackEPS 2021
Shannon Fox,BlockHack Hackathon,Bitcoin Hackathon for MFI & Education,CodeUp-Hack-22,#HackathonPune 2018 - Blockchain For Good,Stratis Smart Contracts Challenge
Rachel Branch,Hack the Ridge,HACK4CG,VandyHacks IX,Treasure Hacks,Presto Hacks
Tom Gonzalez,FRC Back to School Hackathon,UNT NSBEHack 2023,HackEPS 2023,Devfest'22 Algiers,NASA Space Apps Challenge Mountain View
Stephanie Park,Hydrogen X Future Hackathon,YCP Hacks 2022,Amplitude London Hackathon,HackLBS,Microsoft #BuildFor2030 Hackathon
Karen Jones,Zoohackathon Finland,New Delhi Zoohackathon ,CodeFest'21,What The Hack 2020: Environment Edition,HackPrague 2021
Philip Matthews,GitX 2022 - PSG Tech,Hack the Valley 7,2021 Calgary Youth Hackathon,Haryana Steelers Hackathon,CodeQuantum
Christopher Clark, IoT Hack Day 2022,Stefanini Innovation Hackathon,IoT Hack Day 2019,HACKFEST 2019,Voicehacks Hackathon
Melissa Blackburn,API World Hackathon 2022,Geneva Zoohackathon,HealthCareCodings Medhackathon,Zoohackathon 2019 - Kota Kinabalu,EthiopiaHacks v9
Michelle Chen,Google’s Immersive Geospatial Challenge,HackUDC,VandyHacks IX,Code Green,Prototypical
Miss Rachael Morales MD,New Delhi Zoohackathon ,GDST Cologne Hackathon,YB Hackathon,Sales Kickoff - International Hackathon,Sales Kickoff - Americas' Hackathon
Ricky Romero,AT&T Next Gen TV Hackathon,TOHacks AR/VR Challenge,Liquid Hacks ,Abbey Road Hack-Power Of Immersion  9/10 Nov,T-Mobile Hacktober 2019
Daniel Cox DDS,AR/VR Africa 2022 Metathon | Ethiopia,Facebook Developer Circle Hackathon - Los Angeles,MATLAB Hackathon Uniroma2,VR Summit Hackathon,Hack the Valley V
Christopher Benjamin,API World Hackathon 2022,CUNY Hackathon Fall 2021,HackVision 2021,WebWonders Hackfest,PlutoHacks
Shannon Burns,TechTogether Boston,hackUMBC Fall 2020,Liquid Hacks ,Nordic IT Security Hackathon 2023,The Hackathon 2020
Mrs. Mary Johnson,Metaverso Hackathon,Theta Hackathon Q3 2021,Nordic IT Security Hackathon 2023,HECO Gaming Hackathon  2021,Kin Crypto Challenge
Justin Webb,CodeAfrika Power Apps Hands Course 2023,Civiso Designathon 2022,RESEARCH EXPO INDUSTRIAL,SLAC WiSTEM Program Project Competition,Quick Base Virtual Hackathon
Timothy Ware,API World Hackathon 2022,Legend Hacks,HackUiet 2021,BlockHack Global FE 2022,2. Provinzial Rheinland Hackathon: Future of Insurance
Penny Harris,API World Hackathon 2022,Random Power Hackathon,HVTechFest Hackathon,Hackathon Deacero 2020,BusinessMeetsTech IdeaHack! 2022
Jacqueline Oneal,API World Hackathon 2022,Hack the Valley 7,BlockHack 2023,API World Hackathon 2021,NextStep
Kyle Wilcox,CheeseHacks 2021,Golden Hack: Impact Weekend,HackUIowa '22,"Equitable Elevation II - (Internships, Prestigious Article, 300K Non-Cash Prize)",MontyHacks VI
Bryan Kelly,TechTogether Boston,HackPrinceton Fall 2022,hackUMBC Fall 2020,Digital HackFair 2.0 | Bringing Technical Solutions to Empower Women,Hack the Valley 7
Gregory Davila,PowerToFly Diversity Hackathon (December 2022),Dashathon,Meet & Hack 2,Haryana Steelers Hackathon,Girls in Tech CH: Hacking for Humanity
Lauren Larsen,API World Hackathon 2022,Hackadtech - open hackathon by AdTech Holding,HackNEHS,Hackathon Colombia,Hacks for Humanity
Tara King,Hackerslack,#HACK4WOMEN,CodeUp-Hack-22,Hackathon Deacero 2020,Start Green Hackathon 2020
Kristy Rodriguez,Design-a-thon,YB Hackathon,LEC Hacks 2023,HackEPS 2023,D3 Hackathon
Ernest Walker,API World Hackathon 2022,Hack4Goa,EVMxIdeathon,Web3 Stack Hack,Oxfam/IFRAD Hackathon
Carol Garrett,Google’s Immersive Geospatial Challenge,API Hacks 2.0,CSYA Hacks 2.0,BlockHack Hackathon,"Equitable Elevation II - (Internships, Prestigious Article, 300K Non-Cash Prize)"
Kimberly Lopez,Liquid Hacks 3.0,Kent Hack Enough 2022,Cloud Native Hackathon,Civo Hackathon 2021,GDSC Game Jam
Kara Grant,uXperience | Think Privacy,SystemsHacks 2020: LifeHacks,Japan LawTech SOAR: Embracing Society 5.0,Appathon Nov'19,SyntHacks II
Wendy Lynch,Sunflower Hackathon,Hack-A-League,Dream Team Engineering Designathon,Hacknight 2023,HackDesigns (October 2023)
Vanessa Johnson,Datathon FME 2022,Databricks Asia Pacific LLM Cup 2023,ML4Earth Hackathon 2022 (online),Syracuse Open Data Day,Data Hackfest
Michael Edwards,SHPE 2021 Cyber Security Challenge Sponsored by NSA and Raytheon ,Thailand champion,NUSH HACK 2022,Alexa Skills Challenge: Beyond Voice,IHS CS Club 2021 October Hackathon
Mr. Jamie Garza MD,Network Effects Hackathon,NEAR MetaBUILD III Hackathon,NEW HORIZON,XRPL Hackathon: NFT Launch Party,Celo's Make Crypto Mobile Hackathon
Mark Martin,Google’s Immersive Geospatial Challenge,Gagnaþon Ríkiskaupa,TechTogether Seattle ,Fortune Hacks,TrojanHacks Fall 2021
Samuel Rowe,API World Hackathon 2022,Harvest Hacks,Microsoft US Hack for Wellness,Technica 2022,EduLearn Hackathon(✧Free Goodies for All!✧)
Noah Morrow,Fitch 2022 Codeathon for Education,Rose Hack 2023,Hacking for Humanity : Health Systems of The New Normal,Accessibility for All: Hacking for an Inclusive Future,"""Hello 8th Wall"" Workshop in Paris!"
Lisa Medina,RowdyHacks 2022,HackRPI Fall 2020,Hackatown 2020,Intellothon,#PayAsYouKnow Hackathon
Erica Carpenter,API World Hackathon 2022,Hack the Bronx 2,hackaTUM C0dev1d19,Kiva Fall 2021 Hackathon,PoweringSTEMHacks2
Jill Rodriguez,Google’s Immersive Geospatial Challenge,SASEhack Fall 2021,Haryana Steelers Hackathon,UPitch 2019,LEC Hacks 2.0
Ebony Ramos,API World Hackathon 2022,Sunflower Hackathon,Hack Spartan 2023,TigerHacks,Hudson Valley Tech Festival & Hackathon
Regina Bowman,DigitalBits Blockchain Hackathon,CSI Hackathon,HackPrinceton Fall 2022,DevFest GDG Algiers 2k19,BioMedEngX
Brian Ponce,Voicehacks Hackathon,Random Power Hackathon,IATA ONE Record Hackathon – hosted by Qatar Airways Cargo,HackLBS,Lockgenix
Jeremy Farmer DDS,12th Named Data Networking (NDN) Hackathon,The GoldenHack,uXperience | Think Privacy,Cybersecurity Hackathon- Secure Kenya,Nordic IT Security Hackathon 2023
Veronica Collier,Google’s Immersive Geospatial Challenge,MontyHacks V,Treasure Hacks,Space City Hacks 2023,hackBCA VI
Bethany Greer,Thailand champion,Alexa Skills Challenge: Beyond Voice,Azure Sentinel Hackathon 2021,Cyber Defenders Hackathon,T-Mobile Hacktober 2020
Lauren Hawkins,CodeFest'21,Square + Google AI Hackathon,Anthropic Claude 2 Hackathon,MAIS Bootcamp Fall 2022,Sk[AI] is the limit
Justin Harrison,Beyond Code,Hack WashU,Tech Takes On Mental Health Hackathon,TechTogether New York,Codestellation 2020
Teresa Bird,Smart Aurangabad Hackathon ,HVTechFest Hackathon,GreatUniHack19,2. Provinzial Rheinland Hackathon: Future of Insurance,HACK FOR A CAUSE
Doris Davis,SacHacks IV,life --upgrade,Hack Roboy #5,AT&T 5G Hackathon,Beantown Bash
Donald Williams,Google’s Immersive Geospatial Challenge,6ixBits,Give Back Hacks 3,Reconnect-Ed,McGill CodeJam 12
Karen Wilkins,API World Hackathon 2022,OPTIV x SSF CYBER SECURITY 2023,ProjectCSGirls Fremont 2021 Hackathon,Hack the Crisis (Ages 8-17),UGAHacks Makeathon II
Kaitlyn Olson,API World Hackathon 2022,Metis Ethereum Hackathon,Hack the Valley 7,Technica 2021,TAMU Datathon 2020
Desiree Johnson,HECO Gaming Hackathon  2021,HB DApps Hackathon 2019,CS Week 3.0 Hackathon,OEC: BUIDL IN METAFORCE Hackathon ,Kin Crypto Challenge
Anita Lopez,Google’s Immersive Geospatial Challenge,Horror Hacks 2023,jacobsHack!2022,CodeUp-Hack-22,ProjectCSGirls Fremont 2021 Hackathon
Ryan Stewart,BioMedEngX,2021 Calgary Youth Hackathon,Global Hack Week December Day 5,The ELC Virtual Hackathon,McGill CodeJam 2020
Sarah Daniels,HackathonX,MHacks,2022 FOOD SYSTEMS CHALLENGE HACK,NNHSHacks,CuseHacks Beta 2023
Jose Johnson,API World Hackathon 2022,HackPSU Fall 2023,hackUMBC Fall 2022,McGill CodeJam 12,GovTech Hackathon 2021
